country,Region,Surface.area..km2.,Population.in.thousands..2017.,Population.density..per.km2..2017.,Sex.ratio..m.per.100.f..2017.,GDP..Gross.domestic.product..million.current.US..,GDP.growth.rate..annual....const..2005.prices.,GDP.per.capita..current.US..,Economy..Industry....of.GVA.,Employment..Industry....of.employed.,Employment..Services....of.employed.,Unemployment....of.labour.force.,Labour.force.participation..female.male.pop....,Population.growth.rate..average.annual...,Urban.population....of.total.population.,Urban.population.growth.rate..average.annual...,Fertility.rate..total..live.births.per.woman.,Life.expectancy.at.birth..females.males..years.,Population.age.distribution..0.14...60..years....,International.migrant.stock..000...of.total.pop..,Education..Government.expenditure....of.GDP.,Education..Primary.gross.enrol..ratio..f.m.per.100.pop..,Education..Secondary.gross.enrol..ratio..f.m.per.100.pop..,Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..,totalSmokingRate
Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,5.5,1410.4,19,19.8,38.1,5.9,24.8/82.5,2.1,38.8,2.8,3.7,66.8/65.0,34.8/6.7,3629.0/1.9,2.6,85.2/99.7,39.2/49.5,9.2/10.6,22.45
Panama,CentralAmerica,75320,4099,55.1,100.4,52132,5.8,13268.1,27.1,19.6,65.9,6.2,50.5/80.4,1.7,66.6,2.1,2.6,80.5/74.3,27.4/11.4,184.7/4.7,3.2,100.9/103.5,78.3/72.9,46.5/31.2,6.6
Paraguay,SouthAmerica,406752,6811,17.1,102.9,27714,3.1,4174.4,29.5,19.5,61,5.5,58.3/84.7,1.3,59.7,2.1,2.6,74.9/70.7,29.4/9.4,156.5/2.4,5,104.3/107.6,79.1/74.2,.../...,18.1
Philippines,South-easternAsia,300000,104918,351.9,101.3,292449,5.9,2904.2,31.3,16.3,56.1,5.9,50.8/78.9,1.6,44.4,1.3,3,72.1/65.4,31.7/7.6,211.9/0.2,...,116.9/116.8,92.7/84.4,40.3/31.4,25.75
Poland,EasternEurope,312679,38171,124.6,93.4,477066,3.9,12355.5,34.1,29.6,59.5,5.3,49.1/64.9,-~0.0,60.5,-0.1,1.3,81.0/72.9,14.8/24.0,619.4/1.6,4.9,100.7/100.5,106.1/110.0,82.6/54.2,28.05
Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,1.6,19239.2,22.3,23.8,68.2,10.5,53.3/63.7,-0.4,63.5,1,1.3,83.5/77.3,13.6/27.9,837.3/8.1,5.1,105.3/109.4,117.3/121.0,65.7/58.0,22.6
Romania,EasternEurope,238391,19679,85.5,94,177956,3.7,9120.7,34.9,27.7,46.8,7.1,47.3/64.5,-0.6,54.6,~0.0,1.5,78.4/71.4,15.3/24.9,226.9/1.2,3.1,89.0/90.5,92.0/92.5,59.0/47.8,29.8
Samoa,Polynesia,2842,196,69.4,106.6,774,2.8,4006,24.2,14.8,79.8,6.5,23.3/58.2,0.8,19.1,-0.2,4.2,77.4/71.1,36.6/8.5,4.9/2.6,...,106.7/106.7,89.5/80.7,.../...,29.95
Saudi Arabia,WesternAsia,2206714,32938,15.3,132.9,653219,3.4,20710.6,46,22.7,71.4,5.5,20.0/78.5,2.8,83.1,2.1,2.7,75.6/72.7,25.2/5.6,10185.9/32.3,...,111.1/107.9,93.7/122.6,61.8/64.4,15.4
Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,6.5,901.1,24.1,20.7,27.9,9.3,45.3/70.5,3,43.7,3.6,5,67.5/63.8,42.9/4.7,263.2/1.7,7.4,86.9/77.6,49.1/50.2,7.8/12.9,12.05
Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,0.8,5238.6,31.4,24.5,56.1,15.5,43.4/59.9,-0.4,55.6,-0.3,1.6,77.5/71.8,16.5/24.5,807.4/9.1,4.2,101.2/101.5,97.4/96.0,66.9/50.2,41.65
