country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),,Economy: Industry (% of GVA),,,Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),,,,,,,Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),,,,,Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.)
China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,,41.1,,,23.9,49.1,4.6,63.0/77.7,,,,,,,0.5,55.6,3,1.6,77.2/74.2,17.7/16.2,978.0/0.1,,,,,-99,104.3/104.0,95.6/93.2,47.3/39.9
Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6056.1,,34,,,16.6,69.9,10.5,58.0/79.8,,,,,,,1,76.4,1.7,1.9,77.4/70.2,23.5/11.6,133.1/0.3,,,,,4.5,111.6/115.4,101.5/94.8,59.9/51.5
Comoros,EasternAfrica,2235,814,437.4,101.8,1079,4.8,1368.9,,4,,,5.2,32.8,20,35.7/79.5,,,,,,,2.4,28.3,2.7,4.6,64.5/61.2,39.8/4.9,12.6/1.6,,,,,4.3,99.5/106.8,62.4/58.4,8.0/9.8
Congo,MiddleAfrica,342000,5261,15.4,100.1,8493,1.2,1838.1,,70,,,25.8,33.5,11.5,67.1/72.6,,,,,,,2.6,65.4,3.2,4.9,64.1/61.0,42.3/5.2,393.0/8.5,,,,,...,114.8/107.0,50.6/58.4,8.3/11.1
Cook Islands,Polynesia,236,17,72.4,97.4,294,5.5,14118.7,,9,,,11.7,84,8.2,65.4/76.6,,,,,,,-1.2,74.5,0.9,2.6,79.6/71.7,26.9/14.2,4.2/19.9,,,,,3.9,99.3/106.0,90.1/83.0,49.5/40.1
Costa Rica,CentralAmerica,51100,4906,96.1,100.1,52958,3.7,11015,,21.5,,,19.1,69.3,8.6,46.9/76.5,,,,,,,1.1,76.8,2.7,1.9,81.7/76.7,21.6/13.6,421.7/8.8,,,,,7.2,109.5/110.1,125.6/120.7,60.9/46.6
Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,1.6,11479.4,,26.6,,,26.8,64,11.7,46.3/58.4,,,,,,,-0.4,59,0.1,1.5,80.4/73.6,14.7/26.8,576.9/13.6,,,,,4.6,98.1/97.8,100.6/95.9,79.8/58.8
Cuba,Caribbean,109884,11485,107.9,100.1,87206,4.4,7656.6,,20.5,,,11.7,75.3,3,42.1/68.3,,,,,,,0.2,77.1,0.1,1.7,81.3/77.1,16.0/20.1,13.3/0.1,,,,,...,94.9/100.1,102.7/98.2,43.0/30.1
Cyprus,WesternAsia,9251,1180,127.7,100.2,19561,1.7,21941.9,,10.6,,,16.7,79.2,10.3,57.8/70.4,,,,,,,0.9,66.9,0.9,1.4,82.2/77.7,16.8/18.5,196.2/16.8,,,,,6.1,99.3/99.3,99.4/100.1,69.4/51.1
Czechia,EasternEurope,78868,10618,137.5,96.7,185156,4.5,17561.7,,37.8,,,37,60.5,3.9,51.3/67.8,,,,,,,0.1,73,0.3,1.5,81.2/75.1,15.4/25.6,405.1/3.8,,,,,4.1,99.9/99.6,106.1/105.1,76.3/54.2
Democratic People's Republic of Korea,EasternAsia,120538,25491,211.7,95.7,16283,-1.1,648,,46.2,,,19.3,21.8,4.3,73.6/85.9,,,,,,,0.5,60.9,0.7,2,74.1/67.2,20.6/13.5,48.5/0.2,,,,,-99,76.9/76.7,93.9/92.9,19.8/36.0
Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,99.6,37569,7,486.2,,44.2,,,5.9,28.9,3.6,70.4/71.8,,,,,,,3.3,42.5,4,6.4,59.5/56.7,46.3/4.7,545.7/0.7,,,,,2.2,101.8/112.0,33.3/53.6,4.2/9.1
